avg,best
19329.837855014473,520.7933628929611
3742.8392668586807,509.1493690953446
1499.3363229627537,509.1493690953446
1294.1751908334122,509.1493690953446
1139.2366795129442,509.1493690953446
995.1238492029565,501.9473510250697
876.4161552755037,501.9473510250697
878.7075627202876,489.2900002305104
903.9932863248041,478.8236024543865
1013.8014044601593,476.51905864533165
850.116072052736,476.51905864533165
985.4751367177169,453.48670070160233
964.7518005844342,453.48670070160233
713.512486421926,443.6428943641146
1236.7510579265233,382.1640916366578
939.056835529686,367.7808353440076
966.0975681799902,367.7808353440076
1016.4678366952303,330.5547556432276
1089.443657505098,330.5547556432276
1811.2646243334798,328.5434451926971
1843.5615096121696,326.0147360769793
2062.1040629236236,321.0390665208341
1970.4385250696555,314.4317194893078
2136.611056788051,304.6079093504994
2011.9401354923293,264.76214945052715
30529.90535109723,254.70707924450397
33815.78285869025,254.70664369010112
43999.036660376056,242.13972776501532
107129.21815085974,187.79560677587642
142212.80163127865,178.49592800124856
91677.93084044787,168.34730128495872
7696.699376670967,165.91064217834267
3195.2560504937132,163.07866643327154
29386.89940463329,147.58863168707066
2934.3445039180674,147.58863168707066
2606.843950008926,147.58863168707066
4110.139508802628,144.94917176354312
32837.08119942087,136.7019621230199
13650.439157406248,136.7019621230199
4098.8847547137675,134.9213242636857
7221.62540792799,133.11578594965712
20185.27329486223,133.1157859496525
581509.5689961435,130.94619519362305
44377.05527304051,118.54102690041623
6714.912428628987,118.53973851770812
177832.14573132683,118.1214739968064
100571.69517795634,113.50770034761639
127444.41627948235,106.20356762936788
98250.03709758543,106.20335964918893
95750.75685075215,105.87176181255201
