avg,best
27731.423784058185,269.2831257406579
4381.436362072096,268.90339074218014
1295.883451788123,268.7207450047883
1216.93355939236,268.6350565270436
687524.2620836074,268.6350565270436
1199219.2312584561,268.26659343058805
2191.176834079264,268.06497089981684
6010121.743982502,267.7602619303949
38172.02129274726,267.7602619303949
42947.73358386769,267.1144881845256
6113.323568844874,266.2930821408463
18554.65821392509,265.78514091730904
13240.10316662418,265.70649123390575
49496.62978895814,265.2366864089084
126789.63404737515,265.2366864089084
3522449.212069574,264.8631931569997
2880703.982153347,263.7176351935448
12458.210741551897,263.3404889164059
2683584.354702297,263.018576385329
12619.492612866992,263.0185310794733
9703.891391914245,263.0082854423446
5991.870786604504,262.2351413887109
1286.0728006735615,261.8341273836201
3866.00119348154,261.7090025072587
2421.6323453912823,260.3637216363176
15508.420739482392,260.3637216363176
1780.6935793531263,260.3637216363176
1985.703775594249,260.3637216363176
1135.5446230801238,260.3637216363176
1426.8077183616253,260.3381722974105
1353.0445152752106,260.0493554764734
19338.61909127772,259.90941511662027
1015.3851002248776,259.5798341733665
1794.421521923118,259.579812208725
977.1843632543607,259.38112782896815
1232.0922039243635,258.83238656934265
1755.9767011395031,258.5742377106164
1010.1815089738279,258.55233774454217
2181.0739568313875,258.4747416721235
1349.689194426018,258.0732271367515
906.0931465732309,258.0732271367515
948.0071834036183,257.7963234625115
690.6125290544957,257.7963233598616
2326.9769368144493,256.7166512612032
575.1034714760241,256.7166512612032
640.4800639197138,256.7166512612032
1011.4308195136023,256.55838115154484
1353.9256113345245,256.33054395077454
73736.99007642339,255.39014471645052
708.5263534991326,255.38848920920364
7035.581955150563,255.38695124304746
1125.1920878188096,254.45690531464604
645.6859385305016,254.2327051140797
801.086770261695,254.1496799792602
1182.4588334093987,253.1068232422849
1327.1559776074191,252.289231163867
867.812167677197,252.2891793910902
3644.091511299482,252.27923081263424
1397.8530390122924,251.96364151105269
